ID,Phase,Title,Section_Path,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
R1,Research,Research snapshot,N/A,Collect the initial spine papers and confirm scope constraints,N/A,0,N/A,Snapshot covers scope and identifies 10-20 seed papers,DONE,0,,,Duplicate/split/insert rows as needed; add new IDs when scope grows; re-validate
R2,Research,Literature enrichment gate,N/A,Populate ref.bib with 50-80 candidates; screen to >=30 verified (>=5 per subsection); ensure seminal anchors,N/A,0,N/A,ref.bib passes enrichment gate; coverage meets subsection targets,DONE,64,R1,yes,Use arXiv registry export-bibtex; avoid unverified non-arXiv sources
R3,Research,Benchmark+metrics map,N/A,Create a benchmark/metric checklist for PEFT comparisons (LLM+vision+multimodal),N/A,0,Checklist table,Checklist ready and referenced by Evaluation section,TODO,0,R2,,Prefer benchmarks with established usage and clear protocols
W1,Writing,Introduction,Introduction,Motivation + scope + contributions + roadmap with citations,core,10,Timeline,Section drafted with citations; claims are scoped and dated (as-of 2026-03-17),TODO,33,R2,,Algorithm emphasis; include multimodal scope note
W2,Writing,Definitions and efficiency metrics,"Scope, Definitions, and Efficiency Metrics",Define PEFT vs full FT/ICL; formalize efficiency metrics + reporting checklist,core,10,Memory breakdown schematic,Section drafted with citations and clear comparability guidance,TODO,13,R2,,Include compute/memory/latency + mergeability axes
W3,Writing,Taxonomy of PEFT methods,Taxonomy of PEFT Methods,Survey method families with representative citations per family,core,14,Taxonomy tree + comparison table,Taxonomy complete; each named method has a verified citation,TODO,39,R2,,Cover adapters/side-tuning; LoRA-family; prompt/prefix; selective tuning; sparsity
W4,Writing,Design space + composition,Design Space and Method Composition (2022--2026),Rank/layer allocation; init/optim; composition/merging/routing; interference/forgetting,core,12,Design-space matrix,Section drafted with citations and actionable design guidelines,TODO,18,R2,,Emphasize 2022--2026 advances and trends
W5,Writing,Systems view + quantized PEFT,Systems View: Training and Serving Efficiency,Training memory breakdown; quantized finetuning; serving & hot-swapping; toolchains,standard,10,QLoRA pipeline diagram,Section drafted with citations and practical constraints,TODO,12,R2,,Include LLM + vision multimodal system differences
W6,Writing,Evaluation and benchmarks,Evaluation and Benchmarks,Benchmarks+metrics; reporting checklist; reproducibility; failure modes,core,12,Checklist table,Section drafted; includes benchmark map and cost metrics with citations,TODO,22,R3,,Avoid cherry-picking; focus on comparability
W7,Writing,Applications + multimodal,Applications and Case Studies,LLM instruction tuning; domain specialization; vision-language/multimodal PEFT case studies,standard,10,Case-study table,Section drafted with citations across domains and modalities,TODO,21,R2,,Balance breadth with representative depth
W8,Writing,Safety + governance + provenance,"Safety, Governance, and Provenance",Safety/fairness risks of cheap adaptation; privacy; provenance for adapter sharing,core,10,Risk matrix,Section drafted with evidence-backed claims and citations,TODO,16,R2,,Keep claims conservative; separate evidence from open questions
W9,Writing,Open challenges + conclusion,Open Challenges and Conclusion,Synthesize open problems; conclude with takeaways (no new claims),core,8,Open-problems table,Section drafted; conclusion is concise and citation-consistent,TODO,12,W8,,Use dated language for fast-moving areas
RF1,Refinement,Rhythm refinement,N/A,Apply latex-rhythm-refiner skill section-by-section after all W issues DONE,N/A,0,N/A,All sections refined and citations preserved,TODO,0,W9,,Run only after all writing issues are DONE
Q1,QA,Citation and policy audit,N/A,Verify citations source policy and compilation status,N/A,0,N/A,All checks pass and outstanding issues are documented,TODO,0,RF1,yes,Run citation_policy + source_ranker + issue_workflow audit
Q2,QA,Compile + warnings,N/A,Compile with --fail-on-warnings; fix Overfull/Undefined issues,N/A,0,N/A,compile_paper.py passes with no critical warnings,TODO,0,Q1,yes,Set Status back to TODO if compilation fails
Q3,QA,Final package + page count,N/A,Report main-text page count; ensure figures/tables render; final smoke compile,N/A,0,N/A,Main text 6-10 pages; PDF ready for arXiv upload,TODO,0,Q2,yes,Use compile_paper.py --report-page-counts
