claim_id,claim_text,evidence_type,evidence_needed,citation_candidates,experiment_needed,visuals_needed,status
C1,"Closed-loop coupling with rolling parameter calibration improves operational performance vs open-loop/static baselines","literature","Prior evidence on forecast value and forecast-informed operation","10.5194/hess-21-4841-2017;10.1016/j.ifacol.2023.12.043;10.1016/j.jclepro.2020.120471","","","planned"
C1,"Closed-loop coupling with rolling parameter calibration improves operational performance vs open-loop/static baselines","experiment","Case study comparing static calibration+open-loop, rolling calibration+open-loop, and rolling calibration+closed-loop","","Multi-scenario dispatch evaluation across hydrologic regimes","Table: operational metrics by scenario; Figure: Pareto tradeoffs","planned"
C1,"Closed-loop coupling with rolling parameter calibration improves operational performance vs open-loop/static baselines","method","Algorithm definition and closed-loop workflow","","","Figure: closed-loop workflow diagram","planned"
C2,"Rolling/online parameter estimation improves forecast accuracy and uncertainty calibration","literature","Support for EnKF or time-varying parameter estimation in hydrology","10.1016/j.advwatres.2004.09.002;10.1016/j.jhydrol.2018.11.038;10.1016/j.jhydrol.2018.03.015","","","planned"
C2,"Rolling/online parameter estimation improves forecast accuracy and uncertainty calibration","experiment","Forecast skill comparison for static vs rolling calibration","","Backtesting over multiple seasons; compute CRPS/NSE/RMSE","Table: forecast metrics; Figure: reliability diagram","planned"
C3,"Uncertainty-aware dispatch yields more reliable operations when integrated with rolling calibration","literature","Forecast uncertainty-aware reservoir operation and ensemble/MPC methods","10.1016/j.jclepro.2020.120471;10.1016/j.ifacol.2023.12.043;10.1007/s11269-024-04089-z","","","planned"
C3,"Uncertainty-aware dispatch yields more reliable operations when integrated with rolling calibration","experiment","Ablation: deterministic vs ensemble/scenario-based dispatch under same forecasts","","Stress tests under high-variance inflow periods","Figure: reliability/vulnerability metrics","planned"
C4,"Framework is implementable as a periodic decision cycle with practical data and computation requirements","method","Decision cycle specification (data ingest, calibration, forecasting, dispatch, implementation) and runtime analysis","","","Table: runtime and data requirements","planned"
C4,"Framework is implementable as a periodic decision cycle with practical data and computation requirements","case","Single-reservoir deployment feasibility based on data cadence and constraints","","Case study description; operational constraints catalog","Figure: system diagram; Table: constraints","planned"
R1,"Baseline context for inflow forecasting methods","literature","Representative inflow forecasting approaches with uncertainty quantification","10.5194/hess-19-3695-2015;10.1016/j.envsoft.2023.105849;10.5194/hess-25-5951-2021","","","planned"
R2,"Baseline context for forecast-informed reservoir operation","literature","Real-time operation studies using forecasts","10.1016/j.jhydrol.2019.124229;10.1016/j.scitotenv.2023.166806","","","planned"
