name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason
Persistence,N/A (naive baseline),N/A,N/A,foundational,ResOpsUS(3 dams),RMSE;NSE;MAE,Simple; strong very short horizon,Poor under regime changes,yes,Lower-bound forecast baseline
AR(p) static,N/A (statistical baseline),N/A,N/A,foundational,ResOpsUS(3 dams),RMSE;MAE,Transparent; fast,Limited nonlinear dynamics,yes,Classical time-series forecast baseline
Climatology (DOY mean),N/A (seasonal climatology),N/A,N/A,foundational,ResOpsUS(3 dams),NSE;RMSE,Interpretable seasonality baseline,No short-term dynamics,yes,Seasonal baseline capturing annual cycle
ML-LSTM,N/A (common ML baseline),N/A,N/A,direct_competitor,ResOpsUS(3 dams),RMSE;CRPS(if ensemble),Strong nonlinear fit,Needs data; can be miscalibrated,yes,Representative data-driven forecasting baseline
EnKF-Dual-Estimation,Dual state--parameter estimation of hydrological models using ensemble Kalman filter,DOI:10.1016/j.advwatres.2004.09.002,N/A,foundational,Various hydrologic basins,Streamflow RMSE;NSE,Online state/parameter updates,Filter instability if mis-specified,no,Reference method for rolling calibration (not a directly comparable baseline)
TimeVarying-Params-JoH,Identifying time-varying hydrological model parameters to improve streamflow simulation in a changing environment,DOI:10.1016/j.jhydrol.2018.11.038,N/A,foundational,Various basins,Streamflow metrics,Explicit time-varying parameters,Complexity; identifiability,no,Motivation for rolling calibration under change
Complementary-Inflow-HESS2015,Improving real-time inflow forecasting into hydropower reservoirs through a complementary modelling framework,DOI:10.5194/hess-19-3695-2015,N/A,direct_competitor,Hydropower reservoir,Forecast skill metrics,Operationally focused inflow forecasting,May not include closed-loop dispatch,no,Direct inflow forecasting reference
RNN-Reservoir-Op-JoH2019,Real-time reservoir operation using recurrent neural networks and inflow forecast from a distributed hydrological model,DOI:10.1016/j.jhydrol.2019.124229,N/A,direct_competitor,Reservoir case,Operation metrics,Integrates forecasts with operation,Limited rolling calibration and feedback coupling,no,Closest related work (contextual; not selected for direct reproduction yet)
FIRO-ML-SciRep2021,Machine-learning algorithms for forecast-informed reservoir operation (FIRO) to reduce flood damages,DOI:10.1038/s41598-021-03699-6,N/A,direct_competitor,FIRO contexts,Flood damage proxy metrics,Forecast-informed operation with ML,Different objectives and data requirements,no,Related line of work (problem setting differs; not selected for direct reproduction yet)
Uncertainty-Aware-Periods-JCLP2020,A reservoir operation method that accounts for different inflow forecast uncertainties in different hydrological periods,DOI:10.1016/j.jclepro.2020.120471,N/A,direct_competitor,Reservoir case,Reliability;deficit;spill,Explicit uncertainty-aware dispatch,May not update forecast model parameters online,no,Related work for uncertainty-aware dispatch (not selected for direct reproduction yet)
Scenario-MPC-IFAC2023,Scenario-based model predictive control of water reservoir systems,DOI:10.1016/j.ifacol.2023.12.043,N/A,foundational,Reservoir systems,Constraint violations;cost,MPC formulation for reservoirs,Might not include rolling calibration,no,Foundational MPC reference (used in formulation, not as a separate baseline)
Forecast-Value-HESS2017,Complex relationship between forecast skill and value in reservoir operations,DOI:10.5194/hess-21-4841-2017,N/A,foundational,Seasonal operation studies,Value metrics,Connects forecast skill to operational value,Different timescales; not an algorithm baseline,no,Motivation for measuring operational value not just skill
StaticCalib-OpenLoop-DetMPC,N/A (engineering baseline),N/A,N/A,ablation_anchor,ResOpsUS(3 dams),Operations cost;violations,Simple and common pipeline,Sensitive to forecast bias and nonstationarity,yes,Primary operational baseline
RollingCalib-OpenLoop-DetMPC,N/A (ablation),N/A,N/A,ablation_anchor,ResOpsUS(3 dams),Operations cost;violations,Isolates rolling calibration effect,Still open-loop; ignores implementation feedback,yes,Ablation for rolling calibration value
RollingCalib-OpenLoop-ScenarioMPC,N/A (ablation),N/A,N/A,ablation_anchor,ResOpsUS(3 dams),Operations cost;violations,Isolates uncertainty-aware dispatch,No implementation feedback,yes,Ablation for uncertainty-aware dispatch value
RollingCalib-ClosedLoop-ScenarioMPC-Feedback,N/A (proposed full),N/A,N/A,ablation_anchor,ResOpsUS(3 dams),Operations cost;violations,Full closed-loop coupling,More complex; requires careful validation,yes,Reference point for ablations (full method)
